title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,970 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,349 ratings",
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,633 ratings",Only 8 left in stock - order soon
PlayStation 4 Slim 1TB Limited Edition Console - Days of Play Bundle [Discontinued],,4.7 out of 5 stars,806 ratings,Only 1 left in stock - order soon
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.7 out of 5 stars,"144,503 ratings",Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"4,948 ratings",In Stock
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,475 ratings,Not Available
"TXTHcpo Wireless Controller for PS4 Remote, P4 Gamepad for Playstation 4/Pro/Slim Console Gaming Control with Headset Jack Dual Vibration Speaker Touch Pad Six-axis Motion Control Skull",,Previous page of related Sponsored Products,,Not Available
TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.3 out of 5 stars,"1,152 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,,4.7 out of 5 stars,"144,503 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.7 out of 5 stars,"144,503 ratings",Not Available
TotalMount for PlayStation 4 Pro (Mounts PS4 Pro on Wall Near TV),,4.5 out of 5 stars,"2,733 ratings",Not Available
Marvel's Spider-Man: Miles Morales (PS4),,4.8 out of 5 stars,"5,366 ratings",Not Available
Hogwarts Legacy: Standard Edition - Xbox Series X|S [Digital Code],,4.1 out of 5 stars,20 ratings,Available now
"DOYO 1080° Gaming Racing Wheel with Pedals and Shifter, Steering Wheel for PC, Xbox One, Xbox Series 360, PS4, PS3 and Nintendo Switch",,3.9 out of 5 stars,521 ratings,Not Available
$100 PlayStation Store Gift Card [Digital Code],,4.7 out of 5 stars,"253,563 ratings",Available now
"TOPAD Wireless Game Controller Compatible for PS4 with Enhanced Remote Joystick/Audio/Touch pad,Compatible with Playstation 4/Slim/Pro Console,with Charging Cable(Blue)",,4.0 out of 5 stars,22 ratings,Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"2,060 ratings",Not Available
"PS4 Fan Cooling Fan with Controller Charger Compatible with Playstation 4/PS4 Slim/PS4 Pro, PS4 Stand Vertical Cooling Station for PS4 Accessories,PS4 Pro Cooling Fan with Dual Charger & 12 Game Slots",,4.3 out of 5 stars,"1,257 ratings",Not Available
"MageGee Mini 60% Gaming Keyboard, RGB Backlit 61 Key Ultra-Compact Keyboard, TS91 Ergonomic Waterproof Mechanical Feeling Office Computer Keyboard for PC, MAC, PS4, Xbox ONE Gamer(Grey Black)",,4.3 out of 5 stars,"1,084 ratings",Not Available
Sony Dualshock 4 Wireless Controller for PlayStation 4 - Green Camouflage - PlayStation 4,,4.7 out of 5 stars,"3,093 ratings",Not Available
Winshall Wireless Controller Compatible with PS4 / Pro/Slim/PC with High Performance Double Shock and Touch Pad/6-Axis Motion Sensor/Audio Function（ a single）,,Previous page of related Sponsored Products,,Not Available
"Fantech Sonata MH90 All-Platform Gaming Headset, 53mm Driver Headphone for PC, Playstation 4 5, Xbox One S X, Nintendo Switch, VR, Android, and iOS, Black",,4.6 out of 5 stars,21 ratings,Not Available
"TXTHcpo Wireless Controller for PS4 Remote, P4 Gamepad for Playstation 4/Pro/Slim Console Gaming Control with Headset Jack Dual Vibration Speaker Touch Pad Six-axis Motion Control Skull",,Previous page of related Sponsored Products,,Not Available
